Titre,Lien_du_titre,eventresultdate,eventresultdate1,eventresultdate2,location_lien,location,location3,eventresultgenreitem,eventresultartistlink,prix
"
      SOFT MACHINE
    ",https://www.ticketmaster.fr/fr/manifestation/soft-machine-billet/idmanif/554664,"
      30 novembre 2023
    ","
      30 novembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-the-floor/idsite/6566,ROCKHAL - THE FLOOR,ESCH S/ALZETTE,CONCERT - POP ROCK FOLK,"
          SOFT MACHINE
        ","
      à partir de
      34.20 €"
"
      KYO
    ",https://www.ticketmaster.fr/fr/manifestation/kyo-billet/idmanif/541688,"
      1 décembre 2023
    ","
      1 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/forest-national/idsite/3318,FOREST NATIONAL,BRUXELLES,CONCERT - VARIETE INTERNATIONALE,"
          KYO
        ","
      à partir de
      44.00 €"
"
      FC BARCELONE / ATLETICO MADRID
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-atletico-madrid-billet/idmanif/560686,"
      2 décembre 2023
    ","
      2 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ",
"
      REAL MADRID / GRANADA
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-granada-billet/idmanif/560215,"
      2 décembre 2023
    ","
      2 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      115.50 €"
"
      THE AMITY AFFLICTION
    ",https://www.ticketmaster.fr/fr/manifestation/the-amity-affliction-billet/idmanif/562401,"
      2 décembre 2023
    ","
      2 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/garage/idsite/3879,GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"
          THE AMITY AFFLICTION
        ","
      à partir de
      38.70 €"
"
      FRENCH 79
    ",https://www.ticketmaster.fr/fr/manifestation/french-79-billet/idmanif/550162,"
      2 décembre 2023
    ","
      2 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          FRENCH 79
        ","
      à partir de
      32.20 €"
"
      JAIN
    ",https://www.ticketmaster.fr/fr/manifestation/jain-billet/idmanif/562359,"
      12 décembre 2023
    ","
      12 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          JAIN
        ","
      à partir de
      44.50 €"
"
      LOIC NOTTET
    ",https://www.ticketmaster.fr/fr/manifestation/loic-nottet-billet/idmanif/553770,"
      3 décembre 2023
    ","
      3 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          LOIC NOTTET
        ","
      à partir de
      43.50 €"
"
      GIRLS IN HAWAII
    ",https://www.ticketmaster.fr/fr/manifestation/girls-in-hawaii-billet/idmanif/553179,"
      5 décembre 2023
    ","
      5 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          GIRLS IN HAWAII
        ","
      à partir de
      33.20 €"
"
      HALESTORM
    ",https://www.ticketmaster.fr/fr/manifestation/halestorm-billet/idmanif/561163,"
      6 décembre 2023
    ","
      6 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"
          HALESTORM
        ",
"
      BABYMETAL
    ",https://www.ticketmaster.fr/fr/manifestation/babymetal-billet/idmanif/561158,"
      7 décembre 2023
    ","
      7 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          BABYMETAL
        ","
      à partir de
      46.50 €"
"
      GOLDMANMANIA
    ",https://www.ticketmaster.fr/fr/manifestation/goldmanmania-billet/idmanif/547082,"
      8 décembre 2023
    ","
      8 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          GOLDMANMANIA
        ","
      à partir de
      39.00 €"
"
      FC BARCELONE / GIRONA
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-girona-billet/idmanif/560689,"
      9 décembre 2023
    ","
      9 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ","
      à partir de
      82.50 €"
"
      ATLETICO MADRID / ALMERIA
    ",https://www.ticketmaster.fr/fr/manifestation/atletico-madrid-almeria-billet/idmanif/560778,"
      9 décembre 2023
    ","
      9 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/civitas-metropolitano-madrid/idsite/17987,CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"
          ATLETICO MADRID
        ","
      à partir de
      71.50 €"
"
      MANDO DIAO
    ",https://www.ticketmaster.fr/fr/manifestation/mando-diao-billet/idmanif/561164,"
    Du
    
      6 décembre 2023
    
    au
    
      10 décembre 2023
    ","
      6 décembre 2023
    ","
      10 décembre 2023
    ",https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - HARD METAL,"
          MANDO DIAO
        ",
"
      CARDINAL BLACK
    ",https://www.ticketmaster.fr/fr/manifestation/cardinal-black-billet/idmanif/562276,"
      10 décembre 2023
    ","
      10 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-the-floor/idsite/6566,ROCKHAL - THE FLOOR,ESCH S/ALZETTE,CONCERT - BLUES COUNTRY,"
          CARDINAL BLACK
        ","
      à partir de
      29.20 €"
"
      PAIRI DAIZA
    ",https://www.ticketmaster.fr/fr/manifestation/pairi-daiza-billet/idmanif/547205,"
    Du
    
      18 février 2023
    
    au
    
      7 janvier 2024
    ","
      18 février 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/pairi-daiza/idsite/2817,PAIRI DAIZA,BRUGELETTE,PARC - PARC ANIMALIER,"
          PAIRI DAIZA
        ","
      à partir de
      36.00 €"
"
      THE RABEATS
    ",https://www.ticketmaster.fr/fr/manifestation/the-rabeats-billet/idmanif/566665,"
    Du
    
      11 décembre 2023
    
    au
    
      12 décembre 2023
    ","
      11 décembre 2023
    ","
      12 décembre 2023
    ",https://www.ticketmaster.fr/fr/salle/the-cavern-club-liverpool/idsite/19101,THE CAVERN CLUB LIVERPOOL,ROYAUME-UNI,CONCERT - POP ROCK FOLK,"
          THE RABEATS
        ","
      à partir de
      30.00 €"
"
      REAL MADRID / VILLARREAL
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-villarreal-billet/idmanif/560216,"
      16 décembre 2023
    ","
      16 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      137.50 €"
"
      MATMATAH
    ",https://www.ticketmaster.fr/fr/manifestation/matmatah-billet/idmanif/537790,"
      14 décembre 2023
    ","
      14 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"
          MATMATAH
        ",
"
      THE BABOON SHOW
    ",https://www.ticketmaster.fr/fr/manifestation/the-baboon-show-billet/idmanif/562399,"
      15 décembre 2023
    ","
      15 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/garage/idsite/3879,GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"
          THE BABOON SHOW
        ","
      à partir de
      32.20 €"
"
      FAVE
    ",https://www.ticketmaster.fr/fr/manifestation/fave-billet/idmanif/548805,"
      15 décembre 2023
    ","
      15 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"
          FAVE
        ","
      à partir de
      29.20 €"
"
      LA ZARRA
    ",https://www.ticketmaster.fr/fr/manifestation/la-zarra-billet/idmanif/549178,"
      16 décembre 2023
    ","
      16 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          LA ZARRA
        ",
"
      WERENOI
    ",https://www.ticketmaster.fr/fr/manifestation/werenoi-billet/idmanif/549181,"
      17 décembre 2023
    ","
      17 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"
          WERENOI
        ","
      à partir de
      32.20 €"
"
      ATLETICO MADRID / GETAFE
    ",https://www.ticketmaster.fr/fr/manifestation/atletico-madrid-getafe-billet/idmanif/560782,"
      19 décembre 2023
    ","
      19 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/civitas-metropolitano-madrid/idsite/17987,CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"
          ATLETICO MADRID
        ","
      à partir de
      71.50 €"
"
      FC BARCELONE / UD ALMERIA
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-ud-almeria-billet/idmanif/560691,"
      19 décembre 2023
    ","
      19 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ","
      à partir de
      66.00 €"
"
      BELLEWAERDE - LES JOURS GIVRÉS
    ",https://www.ticketmaster.fr/fr/manifestation/bellewaerde-les-jours-givres-billet/idmanif/566898,"
    Du
    
      9 décembre 2023
    
    au
    
      7 janvier 2024
    ","
      9 décembre 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/bellewaerde-park/idsite/5306,BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,"
          BELLEWAERDE
        ","
      à partir de
      25.50 €"
"
      LETZ ZEP & THE DOORS IN CONCERT
    ",https://www.ticketmaster.fr/fr/manifestation/letz-zep-the-doors-in-concert-billet/idmanif/539483,"
      21 décembre 2023
    ","
      21 décembre 2023
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          LETZ ZEP
        ","
      à partir de
      39.50 €"
"
      BELLEWAERDE AQUAPARK
    ",https://www.ticketmaster.fr/fr/manifestation/bellewaerde-aquapark-billet/idmanif/544893,"
    Du
    
      16 janvier 2023
    
    au
    
      31 décembre 2023
    ","
      16 janvier 2023
    ","
      31 décembre 2023
    ",https://www.ticketmaster.fr/fr/salle/bellewaerde-aquapark/idsite/5306,BELLEWAERDE AQUAPARK,YPRES,PARC - PARC AQUATIQUE,"
          BELLEWAERDE AQUAPARK
        ","
      à partir de
      9.00 €"
"
      EUROPA-PARK - HAUTE SAISON - 1 JOUR
    ",https://www.ticketmaster.fr/fr/manifestation/europa-park-haute-saison-1-jour-billet/idmanif/545247,"
    Du
    
      1 avril 2023
    
    au
    
      7 janvier 2024
    ","
      1 avril 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/europa-park/idsite/13345,EUROPA PARK,RUST,PARC - PARC DE LOISIRS,"
          EUROPA PARK
        ","
      à partir de
      56.00 €"
"
      LA TROUPE DE JAMEL
    ",https://www.ticketmaster.fr/fr/manifestation/la-troupe-de-jamel-billet/idmanif/567027,"
      1 février 2024
    ","
      1 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"
          LA TROUPE DU JAMEL COMEDY CLUB
        ","
      à partir de
      40.00 €"
"
      VIRTUAL ROOM BRUXELLES-REALITE VIRTUELLE
    ",https://www.ticketmaster.fr/fr/manifestation/virtual-room-bruxelles-realite-virtuelle-billet/idmanif/568032,"
    Du
    
      31 décembre 2023
    
    au
    
      31 décembre 2025
    ","
      31 décembre 2023
    ","
      31 décembre 2025
    ",https://www.ticketmaster.fr/fr/salle/virtual-room-bruxelles/idsite/20570,VIRTUAL ROOM - BRUXELLES,BRUXELLES,LOISIRS ET TOURISME - GAMING,"
          VIRTUAL ROOM
        ","
      à partir de
      30.00 €"
"
      AQUARIUM DE BARCELONA
    ",https://www.ticketmaster.fr/fr/manifestation/aquarium-de-barcelona-billet/idmanif/555261,"
    Du
    
      1 juin 2023
    
    au
    
      31 décembre 2023
    ","
      1 juin 2023
    ","
      31 décembre 2023
    ",https://www.ticketmaster.fr/fr/salle/aquarium-de-barcelona/idsite/15078,AQUARIUM DE BARCELONA,BARCELONA,PARC - PARC ANIMALIER,"
          AQUARIUM DE BARCELONA
        ","
      à partir de
      18.00 €"
"
      FUNNY-WORLD
    ",https://www.ticketmaster.fr/fr/manifestation/funny-world-billet/idmanif/551152,"
    Du
    
      5 avril 2023
    
    au
    
      31 décembre 2023
    ","
      5 avril 2023
    ","
      31 décembre 2023
    ",https://www.ticketmaster.fr/fr/salle/parc-d-attractions-funny-world/idsite/14415,PARC D'ATTRACTIONS FUNNY-WORLD,KAPPEL-GRAFENHAUSEN,PARC - PARC DE LOISIRS,"
          FUNNY WORLD
        ","
      à partir de
      14.50 €"
"
      VOL EN MONTGOLFIERE - DIVERS LIEUX
    ",https://www.ticketmaster.fr/fr/manifestation/vol-en-montgolfiere-divers-lieux-billet/idmanif/547101,"
    Du
    
      1 janvier 2023
    
    au
    
      31 décembre 2023
    ","
      1 janvier 2023
    ","
      31 décembre 2023
    ",https://www.ticketmaster.fr/fr/salle/france-montgolfiere/idsite/3195,FRANCE MONTGOLFIERE,FRANCE,LOISIRS ET TOURISME - VISITE ET EXCURSION,"
          FRANCE MONTGOLFIERES
        ","
      à partir de
      165.00 €"
"
      VIRTUAL PARK - MISSION FAMILY & FRIENDS
    ",https://www.ticketmaster.fr/fr/manifestation/virtual-park-mission-family-friends-billet/idmanif/533937,"
    Du
    
      11 août 2022
    
    au
    
      31 décembre 2023
    ","
      11 août 2022
    ","
      31 décembre 2023
    ",https://www.ticketmaster.fr/fr/salle/virtual-park/idsite/20005,VIRTUAL PARK,MOUSCRON,PARC - PARC DE LOISIRS,"
          VIRTUAL PARK
        ","
      à partir de
      31.50 €"
"
      VIRTUAL PARK - MISSION SAVE THE WORLD
    ",https://www.ticketmaster.fr/fr/manifestation/virtual-park-mission-save-the-world-billet/idmanif/533889,"
    Du
    
      10 août 2022
    
    au
    
      31 décembre 2023
    ","
      10 août 2022
    ","
      31 décembre 2023
    ",https://www.ticketmaster.fr/fr/salle/virtual-park/idsite/20005,VIRTUAL PARK,MOUSCRON,PARC - PARC DE LOISIRS,"
          VIRTUAL PARK
        ","
      à partir de
      40.50 €"
"
      VIRTUAL PARK - DISCOVERY MISSION
    ",https://www.ticketmaster.fr/fr/manifestation/virtual-park-discovery-mission-billet/idmanif/533938,"
    Du
    
      11 août 2022
    
    au
    
      31 décembre 2023
    ","
      11 août 2022
    ","
      31 décembre 2023
    ",https://www.ticketmaster.fr/fr/salle/virtual-park/idsite/20005,VIRTUAL PARK,MOUSCRON,PARC - PARC DE LOISIRS,"
          VIRTUAL PARK
        ","
      à partir de
      22.50 €"
"
      REAL MADRID / MALLORCA
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-mallorca-billet/idmanif/560219,"
      2 janvier 2024
    ","
      2 janvier 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      165.00 €"
"
      EUROPA-PARK - BASSE SAISON - 1 JOUR
    ",https://www.ticketmaster.fr/fr/manifestation/europa-park-basse-saison-1-jour-billet/idmanif/545261,"
    Du
    
      25 mars 2023
    
    au
    
      7 janvier 2024
    ","
      25 mars 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/europa-park/idsite/13345,EUROPA PARK,RUST,PARC - PARC DE LOISIRS,"
          EUROPA PARK
        ","
      à partir de
      49.00 €"
"
      CASSE-NOISETTE - BALLET ET ORCHESTRE
    ",https://www.ticketmaster.fr/fr/manifestation/casse-noisette-ballet-et-orchestre-billet/idmanif/550248,"
      19 janvier 2024
    ","
      19 janvier 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,DANSE - DANSE CLASSIQUE,"
          CASSE-NOISETTE
        ","
      à partir de
      52.00 €"
"
      CHAPLIN'S WORLD - BILLET PERIODE NOEL CE
    ",https://www.ticketmaster.fr/fr/manifestation/chaplin-s-world-billet-periode-noel-ce-billet/idmanif/567889,"
    Du
    
      2 décembre 2023
    
    au
    
      7 janvier 2024
    ","
      2 décembre 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/chaplin-s-world/idsite/18059,CHAPLIN'S WORLD,CORSIER-SUR-VEVEY,EXPOSITION ET MUSEE - MUSEE,"
          CHAPLIN'S WORLD
        ",
"
      WALIBI BELGIUM - WINTER 2023
    ",https://www.ticketmaster.fr/fr/manifestation/walibi-belgium-winter-2023-billet/idmanif/566890,"
    Du
    
      16 décembre 2023
    
    au
    
      7 janvier 2024
    ","
      16 décembre 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/walibi-belgium/idsite/5307,WALIBI BELGIUM,WAVRE,PARC - PARC DE LOISIRS,"
          WALIBI BELGIUM
        ","
      à partir de
      35.50 €"
"
      WALIBI BELGIUM - LES JOURS GIVRÉS
    ",https://www.ticketmaster.fr/fr/manifestation/walibi-belgium-les-jours-givres-billet/idmanif/566892,"
    Du
    
      16 décembre 2023
    
    au
    
      7 janvier 2024
    ","
      16 décembre 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/walibi-belgium/idsite/5307,WALIBI BELGIUM,WAVRE,PARC - PARC DE LOISIRS,"
          WALIBI BELGIUM
        ","
      à partir de
      32.50 €"
"
      BELLEWAERDE - NOEL 2023
    ",https://www.ticketmaster.fr/fr/manifestation/bellewaerde-noel-2023-billet/idmanif/566896,"
    Du
    
      9 décembre 2023
    
    au
    
      7 janvier 2024
    ","
      9 décembre 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/bellewaerde-park/idsite/5306,BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,"
          BELLEWAERDE
        ","
      à partir de
      32.00 €"
"
      PORTAVENTURA PARK + FERRARI LAND
    ",https://www.ticketmaster.fr/fr/manifestation/portaventura-park-ferrari-land-billet/idmanif/550935,"
    Du
    
      3 avril 2023
    
    au
    
      7 janvier 2024
    ","
      3 avril 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/portaventura-world/idsite/757,PORTAVENTURA WORLD,VILA-SECA,PARC - PARC DE LOISIRS,"
          PORTAVENTURA PARK
        ","
      à partir de
      67.00 €"
"
      PORTAVENTURA PARK
    ",https://www.ticketmaster.fr/fr/manifestation/portaventura-park-billet/idmanif/550057,"
    Du
    
      31 mars 2023
    
    au
    
      7 janvier 2024
    ","
      31 mars 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/portaventura-world/idsite/757,PORTAVENTURA WORLD,VILA-SECA,PARC - PARC DE LOISIRS,"
          PORTAVENTURA PARK
        ","
      à partir de
      57.00 €"
"
      EUROPA-PARK - HAUTE SAISON - 2 JOURS
    ",https://www.ticketmaster.fr/fr/manifestation/europa-park-haute-saison-2-jours-billet/idmanif/545253,"
    Du
    
      1 avril 2023
    
    au
    
      7 janvier 2024
    ","
      1 avril 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/europa-park/idsite/13345,EUROPA PARK,RUST,PARC - PARC DE LOISIRS,"
          EUROPA PARK
        ","
      à partir de
      102.00 €"
"
      EUROPA-PARK - BASSE SAISON - 2 JOURS
    ",https://www.ticketmaster.fr/fr/manifestation/europa-park-basse-saison-2-jours-billet/idmanif/545265,"
    Du
    
      25 mars 2023
    
    au
    
      7 janvier 2024
    ","
      25 mars 2023
    ","
      7 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/europa-park/idsite/13345,EUROPA PARK,RUST,PARC - PARC DE LOISIRS,"
          EUROPA PARK
        ","
      à partir de
      90.00 €"
"
      CHAPLIN'S WORLD
    ",https://www.ticketmaster.fr/fr/manifestation/chaplin-s-world-billet/idmanif/541389,"
    Du
    
      21 janvier 2023
    
    au
    
      8 janvier 2024
    ","
      21 janvier 2023
    ","
      8 janvier 2024
    ",https://www.ticketmaster.fr/fr/salle/chaplin-s-world/idsite/18059,CHAPLIN'S WORLD,CORSIER-SUR-VEVEY,EXPOSITION ET MUSEE - MUSEE,"
          CHAPLIN'S WORLD
        ","
      à partir de
      19.00 €"
"
      PLOPSAQUA - PROMOTION
    ",https://www.ticketmaster.fr/fr/manifestation/plopsaqua-promotion-billet/idmanif/567420,"
    Du
    
      30 octobre 2023
    
    au
    
      15 juillet 2024
    ","
      30 octobre 2023
    ","
      15 juillet 2024
    ",https://www.ticketmaster.fr/fr/salle/plopsaqua/idsite/16287,PLOPSAQUA,LA PANNE,PARC - PARC AQUATIQUE,"
          PLOPSAQUA LA PANNE
        ","
      à partir de
      19.25 €"
"
      MUSEE OCEANOGRAPHIQUE DE MONACO
    ",https://www.ticketmaster.fr/fr/manifestation/musee-oceanographique-de-monaco-billet/idmanif/543492,"
    Du
    
      1 janvier 2023
    
    au
    
      31 décembre 2024
    ","
      1 janvier 2023
    ","
      31 décembre 2024
    ",https://www.ticketmaster.fr/fr/salle/musee-oceanographique-aquarium/idsite/11306,MUSEE OCEANOGRAPHIQUE/AQUARIUM,MONACO,EXPOSITION ET MUSEE - MUSEE,"
          MUSEE OCEANOGRAPHIQUE DE MONACO
        ","
      à partir de
      12.00 €"
"
      ADOS VS PARENTS : MODE D'EMPLOI
    ",https://www.ticketmaster.fr/fr/manifestation/ados-vs-parents-mode-d-emploi-billet/idmanif/562459,"
      12 janvier 2024
    ","
      12 janvier 2024
    ",,https://www.ticketmaster.fr/fr/salle/centre-culturel-d-auderghem/idsite/20314,CENTRE CULTUREL D'AUDERGHEM,BRUXELLES,THEATRE - COMEDIE,"
          ADOS VS PARENTS MODE D'EMPLOI
        ","
      à partir de
      21.00 €"
